timestamp=position_x=position_y=position_z=orientation_x=orientation_y=orientation_z=orientation_w
95,916=3,386=2,797=0,000=0,000=0,000=0,529=0,849
95,986=3,383=2,819=0,000=0,000=0,000=0,505=0,863
96,066=3,380=2,844=0,000=0,000=0,000=0,477=0,879
96,126=3,378=2,861=0,000=0,000=0,000=0,456=0,890
96,196=3,376=2,881=0,000=0,000=0,000=0,431=0,902
96,246=3,375=2,895=0,000=0,000=0,000=0,413=0,911
96,316=3,374=2,914=0,000=0,000=0,000=0,387=0,922
96,396=3,373=2,935=0,000=0,000=0,000=0,359=0,933
96,466=3,373=2,952=0,000=0,000=0,000=0,336=0,942
96,536=3,374=2,968=0,000=0,000=0,000=0,315=0,949
96,666=3,378=2,996=0,000=0,000=0,000=0,282=0,959
96,746=3,381=3,011=0,000=0,000=0,000=0,265=0,964
96,816=3,384=3,024=0,000=0,000=0,000=0,251=0,968
96,886=3,387=3,036=0,000=0,000=0,000=0,238=0,971
96,956=3,390=3,047=0,000=0,000=0,000=0,226=0,974
97,016=3,393=3,056=0,000=0,000=0,000=0,217=0,976
97,086=3,397=3,065=0,000=0,000=0,000=0,208=0,978
97,156=3,401=3,074=0,000=0,000=0,000=0,199=0,980
97,446=3,416=3,106=0,000=0,000=0,000=0,170=0,985
97,516=3,419=3,112=0,000=0,000=0,000=0,165=0,986
97,576=3,422=3,117=0,000=0,000=0,000=0,161=0,987
97,696=3,427=3,127=0,000=0,000=0,000=0,154=0,988
97,756=3,430=3,131=0,000=0,000=0,000=0,151=0,989
97,836=3,434=3,136=0,000=0,000=0,000=0,147=0,989
97,966=3,439=3,144=0,000=0,000=0,000=0,141=0,990
98,036=3,442=3,147=0,000=0,000=0,000=0,139=0,990
98,116=3,445=3,151=0,000=0,000=0,000=0,136=0,991
98,186=3,447=3,155=0,000=0,000=0,000=0,134=0,991
98,256=3,450=3,158=0,000=0,000=0,000=0,132=0,991
98,316=3,452=3,160=0,000=0,000=0,000=0,131=0,991
98,396=3,454=3,163=0,000=0,000=0,000=0,129=0,992
98,466=3,456=3,165=0,000=0,000=0,000=0,128=0,992
98,536=3,458=3,168=0,000=0,000=0,000=0,126=0,992
98,606=3,460=3,170=0,000=0,000=0,000=0,125=0,992
98,676=3,461=3,171=0,000=0,000=0,000=0,125=0,992
98,826=3,461=3,171=0,000=0,000=0,000=0,125=0,992
98,966=3,461=3,171=0,000=0,000=0,000=0,125=0,992
99,026=3,461=3,171=0,000=0,000=0,000=0,125=0,992
99,096=3,461=3,171=0,000=0,000=0,000=0,125=0,992
99,166=3,461=3,171=0,000=0,000=0,000=0,125=0,992
99,236=3,461=3,171=0,000=0,000=0,000=0,125=0,992
99,306=3,461=3,171=0,000=0,000=0,000=0,125=0,992
99,386=3,461=3,171=0,000=0,000=0,000=0,125=0,992
99,456=3,461=3,171=0,000=0,000=0,000=0,125=0,992
99,666=3,461=3,171=0,000=0,000=0,000=0,125=0,992
99,796=3,461=3,171=0,000=0,000=0,000=0,125=0,992
99,876=3,461=3,171=0,000=0,000=0,000=0,125=0,992
100,016=3,461=3,171=0,000=0,000=0,000=0,125=0,992
100,086=3,461=3,171=0,000=0,000=0,000=0,125=0,992
100,156=3,461=3,171=0,000=0,000=0,000=0,125=0,992
100,226=3,461=3,171=0,000=0,000=0,000=0,125=0,992
100,296=3,461=3,171=0,000=0,000=0,000=0,125=0,992
100,366=3,461=3,171=0,000=0,000=0,000=0,125=0,992
100,496=3,461=3,171=0,000=0,000=0,000=0,125=0,992
100,566=3,461=3,171=0,000=0,000=0,000=0,125=0,992
100,636=3,461=3,171=0,000=0,000=0,000=0,125=0,992
100,706=3,461=3,171=0,000=0,000=0,000=0,125=0,992
100,776=3,461=3,171=0,000=0,000=0,000=0,125=0,992
100,846=3,461=3,171=0,000=0,000=0,000=0,125=0,992
100,906=3,461=3,171=0,000=0,000=0,000=0,125=0,992
100,976=3,461=3,171=0,000=0,000=0,000=0,125=0,992
101,046=3,461=3,171=0,000=0,000=0,000=0,125=0,992
101,116=3,461=3,171=0,000=0,000=0,000=0,125=0,992
101,316=3,461=3,171=0,000=0,000=0,000=0,125=0,992
101,446=3,461=3,171=0,000=0,000=0,000=0,125=0,992
101,506=3,461=3,171=0,000=0,000=0,000=0,125=0,992
101,586=3,461=3,171=0,000=0,000=0,000=0,125=0,992
101,656=3,461=3,171=0,000=0,000=0,000=0,125=0,992
101,726=3,461=3,171=0,000=0,000=0,000=0,125=0,992
101,776=3,461=3,171=0,000=0,000=0,000=0,125=0,992
101,836=3,461=3,171=0,000=0,000=0,000=0,125=0,992
101,896=3,461=3,171=0,000=0,000=0,000=0,125=0,992
101,966=3,461=3,171=0,000=0,000=0,000=0,125=0,992
102,046=3,461=3,171=0,000=0,000=0,000=0,125=0,992
102,116=3,461=3,171=0,000=0,000=0,000=0,125=0,992
102,176=3,461=3,171=0,000=0,000=0,000=0,125=0,992
