timestamp=position_x=position_y=position_z=orientation_x=orientation_y=orientation_z=orientation_w
478,015=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
478,165=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
478,235=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
478,305=-2,802=0,600=0,000=0,000=0,000=-0,994=0,110
478,375=-2,802=0,600=0,000=0,000=0,000=-0,994=0,110
478,455=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
478,525=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
478,655=-2,802=0,600=0,000=0,000=0,000=-0,994=0,110
478,715=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
478,795=-2,801=0,601=0,000=0,000=0,000=-0,994=0,110
478,865=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
478,935=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
479,005=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
479,075=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
479,155=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
479,225=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
479,365=-2,802=0,599=0,000=0,000=0,000=-0,994=0,110
479,435=-2,802=0,599=0,000=0,000=0,000=-0,994=0,110
479,495=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
479,565=-2,802=0,600=0,000=0,000=0,000=-0,994=0,110
479,705=-2,802=0,599=0,000=0,000=0,000=-0,994=0,110
479,775=-2,802=0,597=0,000=0,000=0,000=-0,994=0,111
479,845=-2,802=0,599=0,000=0,000=0,000=-0,994=0,110
479,925=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
480,055=-2,801=0,597=0,000=0,000=0,000=-0,994=0,111
480,115=-2,801=0,598=0,000=0,000=0,000=-0,994=0,111
480,175=-2,801=0,598=0,000=0,000=0,000=-0,994=0,110
480,295=-2,801=0,598=0,000=0,000=0,000=-0,994=0,111
480,345=-2,801=0,598=0,000=0,000=0,000=-0,994=0,111
480,405=-2,801=0,597=0,000=0,000=0,000=-0,994=0,111
480,465=-2,801=0,597=0,000=0,000=0,000=-0,994=0,111
480,535=-2,801=0,597=0,000=0,000=0,000=-0,994=0,111
480,595=-2,802=0,597=0,000=0,000=0,000=-0,994=0,111
480,655=-2,801=0,597=0,000=0,000=0,000=-0,994=0,111
480,725=-2,801=0,597=0,000=0,000=0,000=-0,994=0,111
480,855=-2,801=0,598=0,000=0,000=0,000=-0,994=0,111
480,915=-2,801=0,598=0,000=0,000=0,000=-0,994=0,111
480,985=-2,801=0,598=0,000=0,000=0,000=-0,994=0,110
481,055=-2,801=0,598=0,000=0,000=0,000=-0,994=0,110
481,125=-2,801=0,598=0,000=0,000=0,000=-0,994=0,111
481,195=-2,801=0,598=0,000=0,000=0,000=-0,994=0,110
